"","English_en","German_de","Spanish_es","Chinese_le","French_fr","ignlanguage_L1"
"AT",37.05,93.85,1.5,0.46,0.12,32.73
"BE",47.07,7.4,1.05,0.15,20.26,34.29
"BG",18.54,5.67,2.46,0,0.29,6.5
"CY",55.62,0.88,0.06,0,0.16,0
"CZ",26.97,4.22,0.83,0,0.64,23.32
"DE",40.39,97.08,2.09,1.38,0.65,38.73
"DK",39.82,0.3,0,0,0.02,36.36
"EE",13.62,0.6,0.02,0,0.01,4.92
"EL",50.5,2.15,0.51,0,0.61,6.72
"ES",20.58,1.03,86.98,0,1.04,12.62
"FI",19.66,0.21,0.02,0,0.04,1.28
"FR",47.23,1.24,1.21,1.59,98.38,48.03
"HR",33.95,15.18,15.01,0,15.1,31.68
"HU",42.24,6.53,1.47,0,0.29,29.73
"IE",99.54,1.39,1.79,0.88,1.3,5.11
"IT",28.78,1.22,0.58,0.51,2.13,27.28
"LT",30.21,1,0.23,0,0,17.95
"LU",66.49,17.69,7.81,0,53.9,29.61
"LV",11.41,0.97,0,0,0,7.92
"MT",98.99,0.32,0.06,0,0.03,0
"NL",34.36,1.7,0.75,0.27,0.92,26.96
"PL",24.35,4.31,2.02,0.2,0.84,20.41
"PT",41.65,4.22,28.9,0.14,4.09,36.29
"RO",56.97,2.08,2.2,0.11,0.98,27.14
"SE",38.35,0.52,0.22,0.05,0.15,29.44
"SI",12.98,0.73,0,0,0.01,9.35
"SK",15.75,1.08,0.33,0,0.36,8.74
"UK",99.26,1.43,0.76,2.46,1.52,9.21
